query_id,query_name,rows,avg_s,min_s,max_s,mode,runs,warmup
Q1,Q1_customer_lookup_by_name_prefix,546,0.002980,0.002629,0.003661,baseline,5,1
Q2,Q2_customer_lookup_top5_initials,546,0.002443,0.002367,0.002701,baseline,5,1
Q3,Q3_all_customers_and_account_counts,1000,0.002733,0.002661,0.002939,baseline,5,1
Q4,Q4_account_balance_point_in_time,1,0.000083,0.000063,0.000142,baseline,5,1
Q5,Q5_recent_activity_for_account,54,0.000147,0.000139,0.000168,baseline,5,1
Q6,Q6_recent_activity_for_top_accounts_30d,1000,2.526665,1.994795,3.276480,baseline,5,1
Q7,Q7_daily_txn_volume_by_branch,150,0.333129,0.311150,0.357782,baseline,5,1
Q8,Q8_credits_vs_debits,150,0.623655,0.387667,0.737922,baseline,5,1
Q9,Q9_top_customers_by_spend_last_90d,1000,0.524949,0.469934,0.593800,baseline,5,1
Q10,Q10_multi_branch_usage_30d,1000,0.789584,0.650306,0.986821,baseline,5,1
Q11,Q11_outstanding_loans_by_primary_branch,5,0.000370,0.000307,0.000471,baseline,5,1
Q12,Q12_ Average APR by loan type,4,0.000192,0.000152,0.000302,baseline,5,1
Q13,Q13_ Portfolio mix by principal,4,0.000156,0.000144,0.000169,baseline,5,1
Q14,Q14_inactive_accounts_60d_by_branch,0,0.549082,0.428251,0.819571,baseline,5,1
Q15,Q15_avg_txn_amount_by_category_30d,10,0.146199,0.135263,0.163923,baseline,5,1
Q16,Q16_top_merchants_by_gross_volume_30d,12,0.153628,0.144700,0.168298,baseline,5,1
Q17,Q17_branch_net_flow_by_week_90d,25,0.375592,0.341601,0.429225,baseline,5,1
Q18,Q18_top_customers_by_inflow_30d,1000,0.457323,0.451211,0.461705,baseline,5,1
Q19,Q19_card_status_by_brand,4,0.000483,0.000448,0.000510,baseline,5,1
Q20,Q20_loan_payment_day_distribution_active,21,0.000138,0.000115,0.000210,baseline,5,1
