branch_id,day,txn_count,total_amount
B001,2025-10-24,6661,1711575.34
B002,2025-10-24,6563,1721486.72
B003,2025-10-24,6765,1624623.15
B004,2025-10-24,6871,1747645.94
B005,2025-10-24,6473,1623380.04
B001,2025-10-25,6578,1615932.34
B002,2025-10-25,6512,1676778.76
B003,2025-10-25,6887,1633653.97
B004,2025-10-25,6862,1829277.19
B005,2025-10-25,6494,1655526.72
B001,2025-10-26,6601,1667172.32
B002,2025-10-26,6665,1707596.6
B003,2025-10-26,6803,1675537.39
B004,2025-10-26,6757,1685276.38
B005,2025-10-26,6507,1698269.07
B001,2025-10-27,6550,1593457.36
B002,2025-10-27,6583,1691356.56
B003,2025-10-27,6895,1751505.24
B004,2025-10-27,6795,1781574.65
B005,2025-10-27,6510,1671095.9
B001,2025-10-28,6545,1729372.83
B002,2025-10-28,6658,1604193.18
B003,2025-10-28,6901,1734457.41
B004,2025-10-28,6760,1665557.29
B005,2025-10-28,6469,1698971.15
B001,2025-10-29,6533,1756159.21
B002,2025-10-29,6705,1716624.33
B003,2025-10-29,6856,1562553.75
B004,2025-10-29,6752,1767582.03
B005,2025-10-29,6487,1692434.84
B001,2025-10-30,6557,1696200.96
B002,2025-10-30,6557,1723386.27
B003,2025-10-30,7007,1808224.34
B004,2025-10-30,6684,1721460.11
B005,2025-10-30,6528,1548201.54
B001,2025-10-31,6523,1639448.58
B002,2025-10-31,6691,1682527.05
B003,2025-10-31,6790,1759745.46
B004,2025-10-31,6858,1851421.36
B005,2025-10-31,6471,1597264.91
B001,2025-11-01,6644,1730497.9
B002,2025-11-01,6807,1680167.27
B003,2025-11-01,6723,1646510.1
B004,2025-11-01,6731,1741913.59
B005,2025-11-01,6430,1599906.56
B001,2025-11-02,6600,1703227.24
B002,2025-11-02,6633,1678727.32
B003,2025-11-02,6851,1723221.61
B004,2025-11-02,6746,1764392.39
B005,2025-11-02,6503,1656917.59
B001,2025-11-03,6721,1683661.28
B002,2025-11-03,6639,1737001.0
B003,2025-11-03,6808,1745224.76
B004,2025-11-03,6718,1876681.47
B005,2025-11-03,6447,1654052.19
B001,2025-11-04,6607,1689388.97
B002,2025-11-04,6735,1669441.47
B003,2025-11-04,6785,1826912.43
B004,2025-11-04,6854,1753425.51
B005,2025-11-04,6352,1704036.79
B001,2025-11-05,6607,1670107.01
B002,2025-11-05,6623,1676530.25
B003,2025-11-05,6839,1747737.17
B004,2025-11-05,6783,1864024.64
B005,2025-11-05,6481,1725920.19
B001,2025-11-06,6600,1673359.56
B002,2025-11-06,6565,1823331.49
B003,2025-11-06,6794,1715332.79
B004,2025-11-06,6887,1702183.59
B005,2025-11-06,6487,1694066.69
B001,2025-11-07,6599,1650673.15
B002,2025-11-07,6639,1786148.74
B003,2025-11-07,6846,1706105.64
B004,2025-11-07,6754,1820755.69
B005,2025-11-07,6495,1679627.94
